  PID  %CPU    RSS COMM
  666   0.0   2496 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  667   0.0  61664 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  668   0.0  19664 /usr/libexec/transparencyd
  669   0.0  61872 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  670   0.0  11920 /usr/libexec/pkd
  671   0.0  41024 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
  672   0.0  10960 /usr/sbin/systemsoundserverd
  673   0.0   9216 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
  674   0.0  14080 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  675   0.0   8064 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  676   0.0   5248 /usr/libexec/wallpaperexportd
  677   0.0  23344 /usr/libexec/ContinuityCaptureAgent
  678   0.0   6768 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
  679   0.0   5776 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  680   0.0   4544 automountd
  682   0.0  11216 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/149.0.7827.155/Helpers/chrome_crashpad_handler
  683   0.0  12432 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  684   0.0  14160 /System/Library/CoreServices/sharedfilelistd
  685   0.0  11744 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  686   0.0  23904 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  687   0.0  11408 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent
  688   0.0   8336 /System/Library/ExtensionKit/Extensions/WallpaperDynamicExtension.appex/Contents/MacOS/WallpaperDynamicExtension
  690   0.0  15360 /usr/libexec/gamepolicyd
  691   0.0   7664 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  692   0.0  29440 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  693   0.0  24464 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  694   0.0   3344 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  696   0.0  13760 /usr/libexec/nearbyd
  697   0.0   8688 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  699   0.0  26432 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  700   0.0  12752 /usr/libexec/replayd
  701   0.0  12208 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
  702   0.0  98880 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  703   0.0  22352 /System/Library/PrivateFrameworks/HearingCore.framework/heard
  704   0.0  14016 /usr/libexec/intelligentroutingd
  705   0.0  39856 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  706   0.0  19664 /System/Library/Frameworks/Contacts.framework/Support/contactsd
  707   0.0   9376 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
  708   0.0   6464 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  709   0.0  34592 /usr/libexec/sharingd
  710   0.0    840 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
  711   0.0   1888 /usr/libexec/rosetta/oahd
  712   0.0 141568 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/149.0.7827.155/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
  714   0.0  16768 /usr/libexec/fmfd
  715   0.0  14144 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  716   0.0  36992 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  718   0.0  13600 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  719   0.0   2256 /System/Library/PrivateFrameworks/login.framework/Versions/A/XPCServices/LoginUserService.xpc/Contents/MacOS/LoginUserService
  720   0.0  10400 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  721   0.0  23840 /System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
  723   0.0  17760 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  724   0.0   4064 /usr/libexec/WiFiVelocityAgent
  725   0.0   5184 /usr/libexec/aneuserd
  726   0.0   5584 /usr/libexec/aned
  727   0.0   1968 /usr/libexec/online-auth-agent
  728   0.0   8544 /usr/libexec/wifivelocityd
  729   0.0  13152 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  730   0.0  16512 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  732   0.0  10448 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  733   0.0   9696 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  736   0.0   9200 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  737   0.0  13248 /System/Library/CoreServices/ReportCrash
  738   0.0  39728 /usr/libexec/knowledge-agent
  739   0.0   3440 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  740   0.0   2080 /usr/sbin/distnoted
  741   0.0  12976 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  743   0.0  35648 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem
  745   0.0   6512 /usr/libexec/gamecontrolleragentd
  747   0.0   9920 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
  748   0.0  10544 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  749   0.0   4384 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  750   0.0  27376 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget
  751   0.0  36224 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
  752   0.0  50816 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension
  753   0.0  24016 /System/Library/CoreServices/audioaccessoryd
  754   0.0  15424 /usr/libexec/bluetoothuserd
  755   0.0  13344 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
  756   0.0  10768 /usr/libexec/neagent
  759   0.0   9632 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  760   0.0   9408 /usr/libexec/nfcd
  761   0.0   9952 /usr/libexec/seserviced
  762   0.0  11136 /usr/sbin/spindump
  763   4.0   5664 /usr/libexec/sysmond
  764   0.0  13088 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  765   0.0  13552 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  766   0.0  12032 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider
  767   0.0  10960 /usr/libexec/linkd
  768   0.0   4256 /usr/libexec/spindump_agent
  769   0.0  22064 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  770   0.0  11856 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
  771   0.0   3840 /System/Library/PrivateFrameworks/CSExattrCrypto.framework/Versions/A/XPCServices/CSExattrCryptoService.xpc/Contents/MacOS/CSExattrCryptoService
  772   0.0  16816 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  773   0.0  16880 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
  774   0.0   4272 /System/Library/CoreServices/pbs
  775   0.0 112272 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  776   0.0  16528 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  778   0.0   5696 /Applications/Sublime Text.app/Contents/MacOS/crash_handler
  779   0.0   2960 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  780   0.0   3312 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  781   0.0   3312 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  782   0.0   2672 /Users/johnsonlee/Library/Application Support/iTerm2/iTermServer-3.4.23
  783   0.0  19584 /usr/libexec/networkserviceproxy
  784   0.0  13184 /usr/libexec/triald
  785   0.0  31072 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  788   0.0   2144 /Applications/iTerm.app/Contents/XPCServices/pidinfo.xpc/Contents/MacOS/pidinfo
  789   0.0  13536 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  790   0.0  15648 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
  791   0.0  24448 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  792   0.0  10976 /usr/libexec/MTLAssetUpgraderD
  793   0.0  11344 /usr/libexec/swcd
  794   0.0  16208 /usr/libexec/siriknowledged
  795   0.0  20656 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
  813   0.0   1744 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  843   0.0  38560 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
  846   0.0  21424 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
  913   0.0  59392 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/149.0.7827.155/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
 1151   0.0   6256 /Applications/Sublime Text.app/Contents/MacOS/plugin_host-3.3
 1152   0.0   8064 /Applications/Sublime Text.app/Contents/MacOS/plugin_host-3.8
 1170   0.0   9008 /System/Library/CoreServices/ScopedBookmarkAgent
