Darwin johnsonlee.local 23.3.0 Darwin Kernel Version 23.3.0: Wed Dec 20 21:31:10 PST 2023; root:xnu-10002.81.5~7/RELEASE_ARM64_T6031 arm64 arm Darwin
hw.memsize: 68719476736
hw.logicalcpu: 16
machdep.cpu.brand_string: Apple M3 Max
go version go1.22.0 darwin/arm64

  PID  %CPU    RSS COMM
  688   0.0  10368 /System/Library/ExtensionKit/Extensions/WallpaperDynamicExtension.appex/Contents/MacOS/WallpaperDynamicExtension
  690   0.0  15856 /usr/libexec/gamepolicyd
  691   0.0   7664 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  692   0.0  37328 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  693   0.0  26832 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  694   0.0   3344 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  696   1.3  13936 /usr/libexec/nearbyd
  697   0.0   9120 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  699   0.0  31280 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  700   0.0  13424 /usr/libexec/replayd
  701   0.0  13792 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
  702   0.0 106576 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  703   0.0  23488 /System/Library/PrivateFrameworks/HearingCore.framework/heard
  704   0.0  15072 /usr/libexec/intelligentroutingd
  705   0.0  53872 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  706   0.0  37952 /System/Library/Frameworks/Contacts.framework/Support/contactsd
  707   0.0  10656 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
  708   0.0   6496 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  709   0.4  36464 /usr/libexec/sharingd
  710   0.0    856 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
  711   0.0   1888 /usr/libexec/rosetta/oahd
  712   4.9 163696 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/149.0.7827.155/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
  714   0.0  20096 /usr/libexec/fmfd
  715   0.0  15568 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  716   0.0  34720 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  718   0.0  14944 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  719   0.0   2256 /System/Library/PrivateFrameworks/login.framework/Versions/A/XPCServices/LoginUserService.xpc/Contents/MacOS/LoginUserService
  720   0.0  13872 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  721   0.0  23888 /System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
  723   0.0  19904 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  724   0.0   4064 /usr/libexec/WiFiVelocityAgent
  725   0.0   5680 /usr/libexec/aneuserd
  726   0.0   6144 /usr/libexec/aned
  727   0.0   2992 /usr/libexec/online-auth-agent
  728   0.0   8544 /usr/libexec/wifivelocityd
  729   0.0  15232 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  730   0.0  18736 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  732   0.0  13888 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  733   0.0  12496 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  736   0.0  10560 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  737   0.0  15168 /System/Library/CoreServices/ReportCrash
  738   0.0  38848 /usr/libexec/knowledge-agent
  739   0.0   4560 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  740   0.0   2080 /usr/sbin/distnoted
  741   0.0  18672 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  743   0.0  36368 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem
  745   0.0   6512 /usr/libexec/gamecontrolleragentd
  747   0.0   9968 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
  748   0.0  10672 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  749   0.0   4688 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
