index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
53	graph-id-property-wrapped-contains-target-07-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	273292	2302917	0.11867210151299418	1	762	d5674d7adcd2d58f93c5f2849f690003bc45d523850181c23ceaa0aacd7e6709				
54	graph-id-property-wrapped-contains-target-07-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1655583	20528667	0.08064736984627399	200	84999	35604ee2a3d19ee64c97fa99f4be154714c60028f948c7a23f75b925d4520a5d				
55	graph-id-property-wrapped-contains-target-08-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	24401916	621833	39.24191221758897	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
56	graph-id-property-wrapped-contains-target-08-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	358125	2346333	0.15263178755956636	2	1322	4b49b28d836e57c2c3f8d43a93acd00a93b169fcd603338f9ab350f541e9665c				
57	graph-id-property-wrapped-contains-target-08-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1812958	21733459	0.08341783054413934	200	85531	ed34441ff634f19c276911a1fa193106a9070fde1065b57fc7ec71132b8d5f66				
58	graph-id-property-wrapped-contains-target-09-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	23855125	603375	39.53615081831365	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
59	graph-id-property-wrapped-contains-target-09-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	302042	2249209	0.13428809861600233	1	758	cd83129b7654f9c1ac40c94032a03833f5b559e4d6d903ce58c899d274674334				
60	graph-id-property-wrapped-contains-target-09-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1747875	20394708	0.08570237926426796	200	84710	8302a9dc08d5cf465b56333dad5757a62c24d743692acbdbf8e81919ebd097a0				
61	graph-id-property-wrapped-contains-target-10-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	22781000	637125	35.75593486364528	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
62	graph-id-property-wrapped-contains-target-10-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	343542	2391083	0.1436763173842146	1	821	f3f4d5fb39ff9fde7dcf6d88e4f52bcc4c277ed98626ccca0b17c4ddbb20b035				
63	graph-id-property-wrapped-contains-target-10-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1622375	19194292	0.08452382614581459	200	86914	eec30bd784e53b80ccd384559e9d1f853b8152ad8db90ad1f27d391bf03fc0d8				
64	graph-id-property-wrapped-contains-target-11-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	21489084	597541	35.96252642078117	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
65	graph-id-property-wrapped-contains-target-11-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	297958	2146750	0.13879492255735415	1	758	f8ea31527e372a7d8e0f896bc894b97d788067aa20d0af371a4239382f72a4d1				
66	graph-id-property-wrapped-contains-target-11-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1708958	19006000	0.08991676312743344	200	84862	36598e3ab73085dce50e849dda8b6a32b1088eab3f02f052e9536f16613b5d4b				
67	graph-id-property-wrapped-contains-target-12-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	25198625	617417	40.812975671223825	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
68	graph-id-property-wrapped-contains-target-12-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	350333	2340750	0.14966698707679163	2	1348	569ba2c2d8626f5c6804b713aa9f9bd5155648246e0bb082ab37cf407a3ccee9				
69	graph-id-property-wrapped-contains-target-12-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1817542	21377625	0.08502076353196392	200	85894	f22afa8ccaad259750ce50e850502822308b2565f707f284de32cd44d5ef328a				
