gc 101 @491.432s 1%: 0.11+293+0.011 ms clock, 1.8+1.9/1172/3207+0.18 ms cpu, 11556->11770->6191 MB, 12368 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 102 @495.843s 1%: 0.11+292+0.013 ms clock, 1.9+0.18/1167/3202+0.22 ms cpu, 11570->11796->6202 MB, 12382 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 103 @500.179s 1%: 0.12+290+0.027 ms clock, 1.9+0.21/1162/3192+0.43 ms cpu, 11561->11775->6191 MB, 12405 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 104 @504.526s 1%: 0.11+292+0.016 ms clock, 1.9+0.20/1166/3190+0.25 ms cpu, 11539->11753->6191 MB, 12383 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 105 @508.942s 1%: 0.12+302+0.010 ms clock, 2.0+0.28/1201/3302+0.16 ms cpu, 11539->11755->6309 MB, 12383 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 106 @513.394s 1%: 0.12+326+0.017 ms clock, 1.9+0.22/1301/3538+0.28 ms cpu, 11754->11995->6694 MB, 12618 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 107 @518.092s 1%: 0.11+350+0.015 ms clock, 1.9+0.26/1400/3832+0.24 ms cpu, 12462->12722->7087 MB, 13390 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 108 @523.162s 1%: 0.11+382+0.027 ms clock, 1.8+0.20/1527/4137+0.43 ms cpu, 13207->13471->7539 MB, 14176 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 109 @529.467s 1%: 0.098+296+0.024 ms clock, 1.5+0.24/1182/3243+0.39 ms cpu, 14034->14253->6196 MB, 15079 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 110 @533.762s 1%: 0.094+296+0.014 ms clock, 1.5+0.27/1182/3228+0.22 ms cpu, 11571->11808->6213 MB, 12393 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 111 @538.075s 1%: 0.10+289+0.015 ms clock, 1.6+0.19/1157/3177+0.25 ms cpu, 11544->11755->6188 MB, 12428 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 112 @542.297s 1%: 0.13+295+0.021 ms clock, 2.2+0.21/1178/3223+0.33 ms cpu, 11492->11716->6200 MB, 12376 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 113 @546.559s 1%: 0.11+291+0.009 ms clock, 1.8+0.21/1164/3193+0.15 ms cpu, 11518->11735->6194 MB, 12402 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 114 @550.814s 1%: 0.12+291+0.016 ms clock, 1.9+0.19/1164/3187+0.26 ms cpu, 11505->11714->6186 MB, 12389 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 115 @555.025s 1%: 0.12+294+0.032 ms clock, 1.9+0.22/1171/3203+0.52 ms cpu, 11490->11709->6195 MB, 12374 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 116 @559.329s 1%: 0.12+301+0.027 ms clock, 1.9+0.23/1204/3290+0.43 ms cpu, 11556->11774->6331 MB, 12391 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 117 @563.773s 1%: 0.12+327+0.024 ms clock, 1.9+0.23/1308/3561+0.39 ms cpu, 11804->12055->6722 MB, 12662 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 118 @568.907s 1%: 0.12+420+0.009 ms clock, 2.0+0.26/1677/4481+0.15 ms cpu, 12512->12754->7098 MB, 13446 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 119 @573.999s 1%: 0.12+380+0.018 ms clock, 2.0+0.27/1521/4174+0.30 ms cpu, 13195->13442->7544 MB, 14197 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 120 @580.110s 1%: 0.10+292+0.011 ms clock, 1.6+0.26/1169/3179+0.18 ms cpu, 14009->14206->6174 MB, 15088 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 121 @584.361s 1%: 0.098+296+0.017 ms clock, 1.5+0.24/1179/3189+0.28 ms cpu, 11503->11734->6207 MB, 12349 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 122 @588.693s 1%: 0.10+296+0.018 ms clock, 1.6+0.23/1184/3216+0.29 ms cpu, 11562->11780->6193 MB, 12416 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 123 @592.979s 1%: 0.11+296+0.019 ms clock, 1.8+0.21/1184/3211+0.30 ms cpu, 11534->11752->6194 MB, 12388 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 124 @597.234s 1%: 0.12+299+0.015 ms clock, 1.9+0.17/1197/3249+0.24 ms cpu, 11536->11763->6204 MB, 12389 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 125 @601.516s 1%: 0.11+293+0.012 ms clock, 1.8+0.21/1172/3186+0.19 ms cpu, 11556->11790->6210 MB, 12409 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 126 @605.807s 1%: 0.11+291+0.012 ms clock, 1.9+0.19/1163/3195+0.19 ms cpu, 11552->11771->6195 MB, 12421 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 127 @610.188s 1%: 0.11+301+0.014 ms clock, 1.9+0.22/1205/3309+0.22 ms cpu, 11522->11737->6353 MB, 12391 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 128 @614.633s 1%: 0.12+339+0.016 ms clock, 1.9+0.19/1356/3656+0.25 ms cpu, 11809->12076->6764 MB, 12707 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 129 @619.541s 1%: 0.11+355+0.013 ms clock, 1.8+0.22/1418/3881+0.20 ms cpu, 12542->12794->7136 MB, 13529 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 130 @624.563s 1%: 0.11+393+0.016 ms clock, 1.8+0.18/1543/4203+0.26 ms cpu, 13213->13320->7435 MB, 14273 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 131 @630.424s 1%: 0.097+293+0.024 ms clock, 1.5+0.23/1170/3210+0.38 ms cpu, 13729->13939->6187 MB, 14871 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 132 @634.636s 1%: 0.095+295+0.025 ms clock, 1.5+0.26/1174/3202+0.40 ms cpu, 11483->11689->6182 MB, 12375 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 133 @638.867s 1%: 0.098+294+0.012 ms clock, 1.5+0.18/1174/3193+0.19 ms cpu, 11475->11709->6210 MB, 12366 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 134 @643.136s 1%: 0.11+291+0.017 ms clock, 1.9+0.22/1162/3176+0.27 ms cpu, 11552->11761->6185 MB, 12420 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 135 @647.371s 1%: 0.11+293+0.016 ms clock, 1.8+0.21/1171/3211+0.25 ms cpu, 11503->11724->6198 MB, 12371 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 136 @651.606s 1%: 0.12+306+0.016 ms clock, 1.9+0.28/1224/3319+0.26 ms cpu, 11529->11750->6198 MB, 12397 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 137 @655.897s 1%: 0.11+296+0.018 ms clock, 1.8+0.17/1182/3237+0.29 ms cpu, 11528->11763->6210 MB, 12396 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 138 @660.208s 1%: 0.12+304+0.010 ms clock, 2.0+0.19/1214/3312+0.16 ms cpu, 11546->11765->6352 MB, 12422 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 139 @664.810s 1%: 0.13+326+0.012 ms clock, 2.1+0.19/1304/3572+0.19 ms cpu, 11801->12034->6724 MB, 12706 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 140 @669.588s 1%: 0.12+354+0.020 ms clock, 2.0+0.21/1417/3888+0.32 ms cpu, 12479->12729->7124 MB, 13448 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 141 @674.702s 1%: 0.10+387+0.015 ms clock, 1.6+0.17/1548/4238+0.24 ms cpu, 13210->13428->7533 MB, 14250 MB goal, 0 MB stacks, 0 MB globals, 16 P
