index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
54	graph-id-property-wrapped-contains-target-07-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1882042	20194750	0.09319461741294148	200	84999	35604ee2a3d19ee64c97fa99f4be154714c60028f948c7a23f75b925d4520a5d				
55	graph-id-property-wrapped-contains-target-08-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	23812458	14271792	1.6684981115195625	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
56	graph-id-property-wrapped-contains-target-08-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	613083	2363083	0.25944200859639716	2	1322	4b49b28d836e57c2c3f8d43a93acd00a93b169fcd603338f9ab350f541e9665c				
57	graph-id-property-wrapped-contains-target-08-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2001792	21385625	0.09360455913727095	200	85531	ed34441ff634f19c276911a1fa193106a9070fde1065b57fc7ec71132b8d5f66				
58	graph-id-property-wrapped-contains-target-09-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	23281792	14231917	1.6358858753883965	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
59	graph-id-property-wrapped-contains-target-09-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	524584	2268834	0.23121303718121292	1	758	cd83129b7654f9c1ac40c94032a03833f5b559e4d6d903ce58c899d274674334				
60	graph-id-property-wrapped-contains-target-09-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2003292	20133917	0.09949837381369954	200	84710	8302a9dc08d5cf465b56333dad5757a62c24d743692acbdbf8e81919ebd097a0				
61	graph-id-property-wrapped-contains-target-10-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	23062458	13397125	1.7214482958097352	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
62	graph-id-property-wrapped-contains-target-10-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	466750	2368875	0.19703445728457603	1	821	f3f4d5fb39ff9fde7dcf6d88e4f52bcc4c277ed98626ccca0b17c4ddbb20b035				
63	graph-id-property-wrapped-contains-target-10-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1909167	18754625	0.10179713004125648	200	86914	eec30bd784e53b80ccd384559e9d1f853b8152ad8db90ad1f27d391bf03fc0d8				
