index	id	outcome	oldMainMs	oldGoMs	mainMs	goMs	goDeltaMs
225	graph-id-function-wrapped-contains-target-00-dense	success	0.149833	0.461458	0.139041	0.470334	0.008876
226	graph-id-function-wrapped-contains-target-01-zero	success	0.067125	0.313541	0.079417	0.322083	0.008542
227	graph-id-function-wrapped-contains-target-01-targeted	success	0.048959	0.321167	0.052417	0.30425	-0.016917
228	graph-id-function-wrapped-contains-target-01-dense	success	0.145375	0.470416	0.128084	0.46125	-0.009166
229	graph-id-function-wrapped-contains-target-02-zero	success	0.072125	0.321375	0.062583	0.330625	0.00925
230	graph-id-function-wrapped-contains-target-02-targeted	success	0.059458	0.34225	0.056333	0.320125	-0.022125
231	graph-id-function-wrapped-contains-target-02-dense	success	0.127542	0.483625	0.120667	0.466167	-0.017458
232	graph-id-function-wrapped-contains-target-03-zero	success	0.051083	0.309167	0.048459	0.307375	-0.001792
233	graph-id-function-wrapped-contains-target-03-targeted	success	0.059708	0.301334	0.053708	0.304584	0.00325
234	graph-id-function-wrapped-contains-target-03-dense	success	0.137833	0.463792	0.124917	0.449041	-0.014751
235	graph-id-function-wrapped-contains-target-04-zero	success	0.06575	0.309917	0.049875	0.309375	-0.000542
236	graph-id-function-wrapped-contains-target-04-targeted	success	0.101041	0.321958	0.048542	0.318834	-0.003124
237	graph-id-function-wrapped-contains-target-04-dense	success	0.142458	0.457708	0.132792	0.450375	-0.007333
238	graph-id-function-wrapped-contains-target-05-zero	success	0.067042	0.322583	0.054417	0.314042	-0.008541
239	graph-id-function-wrapped-contains-target-05-targeted	success	0.060291	0.319459	0.053583	0.313125	-0.006334
240	graph-id-function-wrapped-contains-target-05-dense	success	0.138167	0.493083	0.127416	0.479875	-0.013208
241	graph-id-function-wrapped-contains-target-06-zero	success	0.065084	0.315125	0.062125	0.319291	0.004166
242	graph-id-function-wrapped-contains-target-06-targeted	success	0.059625	0.2925	0.052792	0.303625	0.011125
243	graph-id-function-wrapped-contains-target-06-dense	success	0.122209	0.456917	0.127375	0.45275	-0.004167
244	graph-id-function-wrapped-contains-target-07-zero	success	0.062875	0.314875	0.058167	0.33475	0.019875
245	graph-id-function-wrapped-contains-target-07-targeted	success	0.069917	0.293958	0.072417	0.3005	0.006542
