index	id	outcome	oldMainMs	oldGoMs	mainMs	goMs	goDeltaMs
193	graph-id-property-wrapped-contains-target-54-zero	success	15.180333	0.488167	14.43	0.483125	-0.005042
194	graph-id-property-wrapped-contains-target-54-targeted	success	0.199917	1.700875	0.203666	1.645792	-0.055083
195	graph-id-property-wrapped-contains-target-54-dense	success	1.031209	11.481458	0.950209	11.511875	0.030417
196	graph-id-property-wrapped-contains-target-55-zero	success	15.408334	0.558125	14.504458	0.4985	-0.059625
197	graph-id-property-wrapped-contains-target-55-targeted	success	0.29375	1.7345	0.234584	1.68025	-0.05425
198	graph-id-property-wrapped-contains-target-55-dense	success	1.043666	12.104083	0.906084	11.972166	-0.131917
199	graph-id-property-wrapped-contains-target-56-zero	success	15.598208	0.486333	15.390792	0.513375	0.027042
200	graph-id-property-wrapped-contains-target-56-targeted	success	0.306416	1.824791	0.212625	1.749	-0.075791
201	graph-id-property-wrapped-contains-target-56-dense	success	0.973125	12.339042	0.905042	12.092417	-0.246625
202	graph-id-property-wrapped-contains-target-57-zero	success	14.869125	0.493292	14.974542	0.478875	-0.014417
203	graph-id-property-wrapped-contains-target-57-targeted	success	0.206083	1.687833	0.252792	1.663583	-0.02425
204	graph-id-property-wrapped-contains-target-57-dense	success	0.951875	12.319875	0.958583	12.160792	-0.159083
205	graph-id-property-wrapped-contains-target-58-zero	success	16.835541	0.521209	17.051208	0.501	-0.020209
206	graph-id-property-wrapped-contains-target-58-targeted	success	0.27275	1.922167	0.242417	1.862833	-0.059334
207	graph-id-property-wrapped-contains-target-58-dense	success	1.152083	14.079875	1.037208	14.103	0.023125
208	graph-id-property-wrapped-contains-target-59-zero	success	14.679583	0.4835	13.749958	0.545416	0.061916
209	graph-id-property-wrapped-contains-target-59-targeted	success	0.240125	1.703667	0.208417	1.671375	-0.032292
210	graph-id-property-wrapped-contains-target-59-dense	success	0.819917	10.727375	0.830875	10.491334	-0.236041
211	graph-id-property-wrapped-contains-target-60-zero	success	14.494916	0.476542	15.00325	0.466916	-0.009626
212	graph-id-property-wrapped-contains-target-60-targeted	success	0.295	1.727833	0.399291	1.712458	-0.015375
213	graph-id-property-wrapped-contains-target-60-dense	success	0.974459	11.949166	1.00075	11.610583	-0.338583
214	graph-id-property-wrapped-contains-target-61-zero	success	31.380791	0.497875	15.644209	0.486084	-0.011791
215	graph-id-property-wrapped-contains-target-61-targeted	success	0.272	1.831709	0.230792	1.813	-0.018709
216	graph-id-property-wrapped-contains-target-61-dense	success	0.95275	13.010875	0.951875	12.933417	-0.077458
217	graph-id-property-wrapped-contains-target-62-zero	success	14.465083	0.49025	15.137917	0.48325	-0.007
218	graph-id-property-wrapped-contains-target-62-targeted	success	0.286166	1.722459	0.172833	1.733875	0.011416
219	graph-id-property-wrapped-contains-target-62-dense	success	0.956833	12.351417	0.945375	12.150167	-0.20125
220	graph-id-property-wrapped-contains-target-63-zero	success	15.279666	0.527875	14.5	0.500292	-0.027583
221	graph-id-property-wrapped-contains-target-63-targeted	success	0.207334	1.74675	0.18375	1.66575	-0.081
222	graph-id-property-wrapped-contains-target-63-dense	success	0.899708	10.627625	0.879458	10.368083	-0.259542
223	graph-id-function-wrapped-contains-target-00-zero	success	0.120625	0.314916	0.137625	0.29225	-0.022666
224	graph-id-function-wrapped-contains-target-00-targeted	success	0.0795	0.3245	0.060417	0.302542	-0.021958
225	graph-id-function-wrapped-contains-target-00-dense	success	0.183417	0.499375	0.143833	0.476125	-0.02325
226	graph-id-function-wrapped-contains-target-01-zero	success	0.085959	0.314667	0.066458	0.307375	-0.007292
